voivodeship_id,city_PL,city_EN
2,Piotrków Kujawski (wieś),Piotrków Kujawski (wieś)
3,Lublin,Lublin
3,Chełm,Chełm
3,Zamość,Zamość
3,Biała Podlaska,Biała Podlaska
3,Puławy,Puławy
3,Kraśnik,Kraśnik
3,Świdnik,Świdnik
3,Łuków,Łuków
3,Biłgoraj,Biłgoraj
3,Tomaszów Lubelski,Tomaszów Lubelski
3,Łęczna,Łęczna
3,Opole Lubelskie,Opole Lubelskie
3,Parczew,Parczew
3,Ryki,Ryki
3,Radzyń Podlaski,Radzyń Podlaski
3,Janów Lubelski,Janów Lubelski
3,Hrubieszów,Hrubieszów
3,Włodawa,Włodawa
3,Krasnystaw,Krasnystaw
3,Międzyrzec Podlaski,Międzyrzec Podlaski
3,Terespól,Terespól
3,Rejowiec Fabryczny,Rejowiec Fabryczny
3,Frampol,Frampol
3,Szczebrzeszyn,Szczebrzeszyn
3,Turobin,Turobin
3,Józefów nad Wisłą,Józefów nad Wisłą
3,Annopol,Annopol
3,Niemce,Niemce
3,Jastków,Jastków
3,Konopnica,Konopnica
3,Garbów,Garbów
3,Bełżyce,Bełżyce
3,Piaski,Piaski
3,Mełgiew,Mełgiew
3,Urzędów,Urzędów
3,Wilkołaz,Wilkołaz
3,Trzydnik Duży,Trzydnik Duży
3,Dzierzkowice,Dzierzkowice
3,Modliborzyce,Modliborzyce
3,Godziszów,Godziszów
3,Potok Wielki,Potok Wielki
3,Janów (wieś),Janów (wieś)
3,Łaziska,Łaziska
3,Końskowola,Końskowola
3,Kazimierz Dolny,Kazimierz Dolny
3,Nałęczów,Nałęczów
3,Wąwolnica,Wąwolnica
3,Markuszów,Markuszów
3,Żyrzyn,Żyrzyn
3,Baranów,Baranów
3,Kłoczew,Kłoczew
3,Stężyca,Stężyca
3,Ułęż,Ułęż
3,Dęblin,Dęblin
3,Kock,Kock
3,Czemierniki,Czemierniki
3,Ulan-Majorat,Ulan-Majorat
3,Kąkolewnica,Kąkolewnica
3,Komarówka Podlaska,Komarówka Podlaska
3,Wohyń,Wohyń
3,Parczew (wieś),Parczew (wieś)
3,Jabłoń,Jabłoń
3,Dębowa Kłoda,Dębowa Kłoda
3,Sawin,Sawin
3,Rejowiec,Rejowiec
3,Rejowiec Fabryczny (wieś),Rejowiec Fabryczny (wieś)
3,Leśniowice,Leśniowice
3,Żmudź,Żmudź
3,Wojsławice,Wojsławice
3,Białopole,Białopole
3,Chełm (wieś),Chełm (wieś)
3,Łopiennik Górny,Łopiennik Górny
3,Fajsławice,Fajsławice
3,Siennica Różana,Siennica Różana
3,Izbica,Izbica
3,Krasnystaw (wieś),Krasnystaw (wieś)
3,Turobin (wieś),Turobin (wieś)
3,Grabowiec,Grabowiec
3,Miączyn,Miączyn
3,Skierbieszów,Skierbieszów
3,Sitno,Sitno
3,Łabunie,Łabunie
3,Komarów-Osada,Komarów-Osada
3,Kotlice,Kotlice
3,Radecznica,Radecznica
3,Szczebrzeszyn (wieś),Szczebrzeszyn (wieś)
3,Nielisz,Nielisz
3,Sułów,Sułów
3,Adamów (zamojski),Adamów (zamojski)
3,Zwierzyniec,Zwierzyniec
3,Tereszpol,Tereszpol
3,Biłgoraj (wieś),Biłgoraj (wieś)
3,Potok Górny,Potok Górny
3,Księżpol,Księżpol
3,Tarnogród,Tarnogród
3,Obsza,Obsza
3,Lubycza Królewska,Lubycza Królewska
3,Bełżec,Bełżec
3,Narol,Narol
3,Horyniec-Zdrój,Horyniec-Zdrój
3,Cieszanów,Cieszanów
3,Jarczów,Jarczów
3,Tomaszów Lubelski (wieś),Tomaszów Lubelski (wieś)
3,Rachanie,Rachanie
3,Tyszowce,Tyszowce
3,Ulhówek,Ulhówek
3,Włodawa (wieś),Włodawa (wieś)
3,Hanna,Hanna
3,Sławatycze,Sławatycze
3,Wyryki,Wyryki
3,Stary Brus,Stary Brus
3,Urszulin,Urszulin
3,Hańsk,Hańsk
3,Łęczna (wieś),Łęczna (wieś)
3,Puchaczów,Puchaczów
3,Cyców,Cyców
3,Milejów,Milejów
3,Spiczyn,Spiczyn
3,Ludwin,Ludwin
3,Jabłonna,Jabłonna
3,Głusk,Głusk
3,Wólka,Wólka
3,Niedrzwica Duża,Niedrzwica Duża
3,Strzyżewice,Strzyżewice
3,Bychawa,Bychawa
3,Wysokie,Wysokie
3,Krzczonów,Krzczonów
3,Jabłonna (wieś),Jabłonna (wieś)
4,Gorzów Wielkopolski,Gorzów Wielkopolski
4,Zielona Góra,Zielona Góra
4,Nowa Sól,Nowa Sól
4,Żary,Żary
4,Żagań,Żagań
4,Świebodzin,Świebodzin
4,Międzyrzecz,Międzyrzecz
4,Sulechów,Sulechów
4,Kostrzyn nad Odrą,Kostrzyn nad Odrą
4,Strzelce Krajeńskie,Strzelce Krajeńskie
4,Drezdenko,Drezdenko
4,Skwierzyna,Skwierzyna
4,Wschowa,Wschowa
4,Słubice,Słubice
4,Krosno Odrzańskie,Krosno Odrzańskie
4,Gubin,Gubin
4,Lubsko,Lubsko
4,Bytom Odrzański,Bytom Odrzański
4,Kożuchów,Kożuchów
4,Cybinka,Cybinka
4,Rzepin,Rzepin
4,Ośno Lubuskie,Ośno Lubuskie
4,Torzym,Torzym
4,Łagów,Łagów
4,Trzciel,Trzciel
4,Pszczew,Pszczew
4,Bledzew,Bledzew
4,Przytoczna,Przytoczna
4,Pszczew,Pszczew
4,Deszczno,Deszczno
4,Kłodawa,Kłodawa
4,Santok,Santok
4,Bogdaniec,Bogdaniec
4,Lubiszyn,Lubiszyn
4,Kłodawa (wieś),Kłodawa (wieś)
4,Zabór,Zabór
4,Czerwieńsk,Czerwieńsk
4,Babimost,Babimost
4,Kargowa,Kargowa
4,Siedlisko,Siedlisko
4,Otyń,Otyń
4,Nowogród Bobrzański,Nowogród Bobrzański
4,Brzeźnica,Brzeźnica
4,Małomice,Małomice
4,Niegosławice,Niegosławice
4,Szprotawa,Szprotawa
4,Wymiarki,Wymiarki
4,Jasień,Jasień
4,Lipinki Łużyckie,Lipinki Łużyckie
4,Brody,Brody
4,Tuplice,Tuplice
4,Trzebiel,Trzebiel
4,Gozdnica,Gozdnica
4,Iłowa,Iłowa
4,Witnica,Witnica
4,Białcz,Białcz
4,Marwice,Marwice
4,Nowe Miasteczko,Nowe Miasteczko
4,Konotop,Konotop
4,Kolsko,Kolsko
4,Bojadła,Bojadła
4,Trzebiechów,Trzebiechów
4,Szczaniec,Szczaniec
4,Zbąszynek,Zbąszynek
4,Zbąszynek (wieś),Zbąszynek (wieś)
4,Krzeszyce,Krzeszyce
4,Krzeszyce (wieś),Krzeszyce (wieś)
4,Maszewo,Maszewo
4,Dąbie,Dąbie
4,Gubin (wieś),Gubin (wieś)
4,Brójce,Brójce
4,Łęknica,Łęknica
4,Przewóz,Przewóz
4,Nowe Czaple,Nowe Czaple
4,Grabik,Grabik
4,Kunice,Kunice
4,Stary Kisielin,Stary Kisielin
4,Nowy Kisielin,Nowy Kisielin
4,Przylep,Przylep
4,Ochla,Ochla
4,Drzonków,Drzonków
4,Racula,Racula
4,Zawada,Zawada
4,Stary Staw,Stary Staw
4,Łężyca,Łężyca
5,Łódź,Łódź
5,Piotrków Trybunalski,Piotrków Trybunalski
5,Skierniewice,Skierniewice
5,Bełchatów,Bełchatów
5,Pabianice,Pabianice
5,Zgierz,Zgierz
5,Tomaszów Mazowiecki,Tomaszów Mazowiecki
5,Radomsko,Radomsko
5,Kutno,Kutno
5,Zduńska Wola,Zduńska Wola
5,Sieradz,Sieradz
5,Łowicz,Łowicz
5,Opoczno,Opoczno
5,Wieluń,Wieluń
5,Łask,Łask
5,Koluszki,Koluszki
5,Ozorków,Ozorków
5,Konstantynów Łódzki,Konstantynów Łódzki
5,Brzeziny,Brzeziny
5,Rawa Mazowiecka,Rawa Mazowiecka
5,Poddębice,Poddębice
5,Uniejów,Uniejów
5,Łęczyca,Łęczyca
5,Żychlin,Żychlin
5,Głowno,Głowno
5,Parzęczew,Parzęczew
5,Aleksandrów Łódzki,Aleksandrów Łódzki
5,Andrespol,Andrespol
5,Rzgów,Rzgów
5,Tuszyn,Tuszyn
5,Brójce,Brójce
5,Nowosolna,Nowosolna
5,Dalików,Dalików
5,Lutomiersk,Lutomiersk
5,Pabianice (wieś),Pabianice (wieś)
5,Dobroń,Dobroń
5,Widawa,Widawa
5,Sędziejowice,Sędziejowice
5,Zelów,Zelów
5,Kluki,Kluki
5,Kleszczów,Kleszczów
5,Szczerców,Szczerców
5,Rusiec,Rusiec
5,Drużbice,Drużbice
5,Bełchatów (wieś),Bełchatów (wieś)
5,Kamieńsk,Kamieńsk
5,Gomunice,Gomunice
5,Kobiele Wielkie,Kobiele Wielkie
5,Masłowice,Masłowice
5,Przedbórz,Przedbórz
5,Radomsko (wieś),Radomsko (wieś)
5,Ładzice,Ładzice
5,Kodrąb,Kodrąb
5,Żytno,Żytno
5,Sulejów,Sulejów
5,Wolbórz,Wolbórz
5,Rozprza,Rozprza
5,Gorzkowice,Gorzkowice
5,Wola Krzysztoporska,Wola Krzysztoporska
5,Grabica,Grabica
5,Moszczenica,Moszczenica
5,Piątek,Piątek
5,Góra Świętej Małgorzaty,Góra Świętej Małgorzaty
5,Daszyna,Daszyna
5,Świnice Warckie,Świnice Warckie
5,Łęczyca (wieś),Łęczyca (wieś)
5,Kutno (wieś),Kutno (wieś)
5,Strzelce,Strzelce
5,Oporów,Oporów
5,Bedlno,Bedlno
5,Krośniewice,Krośniewice
5,Chodów,Chodów
5,Żychlin (wieś),Żychlin (wieś)
5,Skierniewice (wieś),Skierniewice (wieś)
5,Godzianów,Godzianów
5,Słupia,Słupia
5,Jeżów,Jeżów
5,Dmosin,Dmosin
5,Głowno (wieś),Głowno (wieś)
5,Łyszkowice,Łyszkowice
5,Nieborów,Nieborów
5,Kiernozia,Kiernozia
5,Bielawy,Bielawy
5,Łowicz (wieś),Łowicz (wieś)
5,Opoczno (wieś),Opoczno (wieś)
5,Drzewica,Drzewica
5,Paradyż,Paradyż
5,Sławno,Sławno
5,Mniszków,Mniszków
5,Żarnów,Żarnów
5,Rawa Mazowiecka (wieś),Rawa Mazowiecka (wieś)
5,Cielądz,Cielądz
5,Regnów,Regnów
5,Sadkowice,Sadkowice
5,Wieluń (wieś),Wieluń (wieś)
5,Ostrówek,Ostrówek
5,Biała,Biała
5,Mokrsko,Mokrsko
5,Skomlin,Skomlin
5,Czarnożyły,Czarnożyły
5,Widawa (wieś),Widawa (wieś)
5,Zduńska Wola (wieś),Zduńska Wola (wieś)
5,Zadzim,Zadzim
5,Poddębice (wieś),Poddębice (wieś)
5,Uniejów (wieś),Uniejów (wieś)
5,Wartkowice,Wartkowice
5,Konstantynów Łódzki (wieś),Konstantynów Łódzki (wieś)
6,Kraków,Kraków
6,Tarnów,Tarnów
6,Nowy Sącz,Nowy Sącz
6,Oświęcim,Oświęcim
6,Chrzanów,Chrzanów
6,Bochnia,Bochnia
6,Brzesko,Brzesko
6,Wadowice,Wadowice
6,Myślenice,Myślenice
6,Nowy Targ,Nowy Targ
6,Gorlice,Gorlice
6,Skawina,Skawina
6,Wieliczka,Wieliczka
6,Andrychów,Andrychów
6,Kęty,Kęty
6,Trzebinia,Trzebinia
6,Libiąż,Libiąż
6,Krzeszowice,Krzeszowice
6,Sucha Beskidzka,Sucha Beskidzka
6,Jordanów,Jordanów
6,Kalwaria Zebrzydowska,Kalwaria Zebrzydowska
6,Proszowice,Proszowice
6,Miechów,Miechów
6,Wolbrom,Wolbrom
6,Limnawa,Limnawa
6,Rabka-Zdrój,Rabka-Zdrój
6,Szczawnica,Szczawnica
6,Krynica-Zdrój,Krynica-Zdrój
6,Muszyna,Muszyna
6,Stary Sącz,Stary Sącz
6,Chełmek,Chełmek
6,Zator,Zator
6,Alwernia,Alwernia
6,Liszki,Liszki
6,Zabierzów,Zabierzów
6,Wielka Wieś,Wielka Wieś
6,Mogilany,Mogilany
6,Świątniki Górne,Świątniki Górne
6,Iwanowice,Iwanowice
6,Skała,Skała
6,Słomniki,Słomniki
6,Kocmyrzów-Luborzyca,Kocmyrzów-Luborzyca
6,Michałowice,Michałowice
6,Sułoszowa,Sułoszowa
6,Gołcza,Gołcza
6,Racławice,Racławice
6,Książ Wielki,Książ Wielki
6,Charsznica,Charsznica
6,Słaboszów,Słaboszów
6,Proszowice (wieś),Proszowice (wieś)
6,Koszyce,Koszyce
6,Nowe Brzesko,Nowe Brzesko
6,Gnojnik,Gnojnik
6,Iwkowa,Iwkowa
6,Czchów,Czchów
6,Lipnica Murowana,Lipnica Murowana
6,Trzciana,Trzciana
6,Żegocina,Żegocina
6,Łapanów,Łapanów
6,Rzezawa,Rzezawa
6,Bochnia (wieś),Bochnia (wieś)
6,Dębno,Dębno
6,Szczurowa,Szczurowa
6,Borzęcin,Borzęcin
6,Brzesko (wieś),Brzesko (wieś)
6,Radłów,Radłów
6,Wierzchosławice,Wierzchosławice
6,Pleśna,Pleśna
6,Tarnów (wieś),Tarnów (wieś)
6,Lisia Góra,Lisia Góra
6,Żabno,Żabno
6,Skrzyszów,Skrzyszów
6,Wietrzychowice,Wietrzychowice
6,Czarna,Czarna
6,Dąbrowa Tarnowska,Dąbrowa Tarnowska
6,Radgoszcz,Radgoszcz
6,Szczucin,Szczucin
6,Mędrzechów,Mędrzechów
6,Olesno,Olesno
6,Gręboszów,Gręboszów
6,Bolesław,Bolesław
6,Kazimierza Wielka,Kazimierza Wielka
6,Skalbmierz,Skalbmierz
6,Bejsce,Bejsce
6,Opatowiec,Opatowiec
6,Nowy Targ (wieś),Nowy Targ (wieś)
6,Raba Wyżna,Raba Wyżna
6,Czarny Dunajec,Czarny Dunajec
6,Szaflary,Szaflary
6,Biały Dunajec,Biały Dunajec
6,Poronin,Poronin
6,Bukowina Tatrzańska,Bukowina Tatrzańska
6,Krościenko nad Dunajcem,Krościenko nad Dunajcem
6,Ochotnica Dolna,Ochotnica Dolna
6,Łapsze Niżne,Łapsze Niżne
6,Jabłonka,Jabłonka
6,Lipnica Wielka,Lipnica Wielka
6,Zawoja,Zawoja
6,Stryszawa,Stryszawa
6,Jordanów (wieś),Jordanów (wieś)
6,Budzów,Budzów
6,Sucha Beskidzka (wieś),Sucha Beskidzka (wieś)
6,Osielec,Osielec
6,Spytkowice (wadowickie),Spytkowice (wadowickie)
6,Wadowice (wieś),Wadowice (wieś)
6,Tomice,Tomice
6,Wieprz,Wieprz
6,Andrychów (wieś),Andrychów (wieś)
6,Inwałd,Inwałd
6,Kęty (wieś),Kęty (wieś)
6,Porąbka,Porąbka
6,Czaniec,Czaniec
6,Zembrzyce,Zembrzyce
6,Stryszów,Stryszów
6,Mucharz,Mucharz
6,Lanckorona,Lanckorona
6,Kalwaria Zebrzydowska (wieś),Kalwaria Zebrzydowska (wieś)
6,Przeciszów,Przeciszów
6,Polanka Wielka,Polanka Wielka
6,Osiek (oświęcimski),Osiek (oświęcimski)
6,Oświęcim (wieś),Oświęcim (wieś)
6,Brzeszcze,Brzeszcze
6,Kęty (wieś),Kęty (wieś)
6,Chełmek (wieś),Chełmek (wieś)
6,Babice,Babice
6,Libiąż (wieś),Libiąż (wieś)
6,Trzebinia (wieś),Trzebinia (wieś)
6,Krzeszowice (wieś),Krzeszowice (wieś)
6,Zabierzów (wieś),Zabierzów (wieś)
6,Wieliczka (wieś),Wieliczka (wieś)
6,Niepołomice,Niepołomice
6,Kłaj,Kłaj
6,Biskupice,Biskupice
6,Gdów,Gdów
6,Łapanów (wieś),Łapanów (wieś)
6,Limanowa,Limanowa
6,Mszana Dolna,Mszana Dolna
6,Dobra,Dobra
6,Jodłownik,Jodłownik
6,Laskowa,Laskowa
6,Tymbark,Tymbark
6,Słopnice,Słopnice
6,Niedźwiedź,Niedźwiedź
7,Warszawa,Warszawa
7,Radom,Radom
7,Płock,Płock
7,Siedlce,Siedlce
7,Ostrołęka,Ostrołęka
7,Pruszków,Pruszków
7,Piaseczno,Piaseczno
7,Legionowo,Legionowo
7,Otwock,Otwock
7,Wołomin,Wołomin
7,Marki,Marki
7,Ząbki,Ząbki
7,Mińsk Mazowiecki,Mińsk Mazowiecki
7,Nowy Dwór Mazowiecki,Nowy Dwór Mazowiecki
7,Grodzisk Mazowiecki,Grodzisk Mazowiecki
7,Sochaczew,Sochaczew
7,Żyrardów,Żyrardów
7,Ciechanów,Ciechanów
7,Mława,Mława
7,Płońsk,Płońsk
7,Ostrów Mazowiecka,Ostrów Mazowiecka
7,Wyszków,Wyszków
7,Sokołów Podlaski,Sokołów Podlaski
7,Garwolin,Garwolin
7,Grójec,Grójec
7,Kozienice,Kozienice
7,Białobrzegi,Białobrzegi
7,Lipsko,Lipsko
7,Przasnysz,Przasnysz
7,Pułtusk,Pułtusk
7,Sierpc,Sierpc
7,Żuromin,Żuromin
7,Gostynin,Gostynin
7,Łosice,Łosice
7,Węgrów,Węgrów
7,Zwoleń,Zwoleń
7,Piastów,Piastów
7,Ursus,Ursus
7,Ursynów,Ursynów
7,Wilanów,Wilanów
7,Bemowo,Bemowo
7,Targówek,Targówek
7,Białołęka,Białołęka
7,Wesoła,Wesoła
7,Rembertów,Rembertów
7,Józefów,Józefów
7,Ożarów Mazowiecki,Ożarów Mazowiecki
7,Błonie,Błonie
7,Łomianki,Łomianki
7,Izabelin,Izabelin
7,Stare Babice,Stare Babice
7,Raszyn,Raszyn
7,Nadarzyn,Nadarzyn
7,Lesznowola,Lesznowola
7,Konstancin-Jeziorna,Konstancin-Jeziorna
7,Góra Kalwaria,Góra Kalwaria
7,Karczew,Karczew
7,Wiązowna,Wiązowna
7,Celestynów,Celestynów
7,Jabłonna,Jabłonna
7,Wieliszew,Wieliszew
7,Serock,Serock
7,Radzymin,Radzymin
7,Kobyłka,Kobyłka
7,Zielonka,Zielonka
7,Tłuszcz,Tłuszcz
7,Klembów,Klembów
7,Dąbrówka,Dąbrówka
7,Strachówka,Strachówka
7,Poświętne,Poświętne
7,Halinów,Halinów
7,Dębe Wielkie,Dębe Wielkie
7,Sulejówek,Sulejówek
7,Kałuszyn,Kałuszyn
7,Latowicz,Latowicz
7,Mrozy,Mrozy
7,Siennica,Siennica
7,Stanisławów,Stanisławów
7,Baranów,Baranów
7,Jaktorów,Jaktorów
7,Żabia Wola,Żabia Wola
7,Radziejowice,Radziejowice
7,Puszcza Mariańska,Puszcza Mariańska
7,Mszczonów,Mszczonów
7,Wiskitki,Wiskitki
7,Teresin,Teresin
7,Iłów,Iłów
7,Rybno,Rybno
7,Młodzieszyn,Młodzieszyn
7,Brochów,Brochów
7,Mała Wieś,Mała Wieś
7,Bodzanów,Bodzanów
7,Słupno,Słupno
7,Staroźreby,Staroźreby
7,Bielsk,Bielsk
7,Radzanowo,Radzanowo
7,Sońsk,Sońsk
7,Glinojeck,Glinojeck
7,Ojrzeń,Ojrzeń
7,Regimin,Regimin
7,Gołymin-Gołymin
7,Opinogóra Górna,Opinogóra Górna
7,Krasne,Krasne
7,Czerwonka,Czerwonka
7,Karniewo,Karniewo
7,Szelków,Szelków
7,Różan,Różan
7,Maków Mazowiecki,Maków Mazowiecki
7,Płoniawy-Bramura,Płoniawy-Bramura
7,Młynarze,Młynarze
7,Rzewnie,Rzewnie
7,Sypniewo,Sypniewo
7,Pułtusk (wieś),Pułtusk (wieś)
7,Obryte,Obryte
7,Winnica,Winnica
7,Gzy,Gzy
7,Świercze,Świercze
7,Pokrzywnica,Pokrzywnica
7,Zatory,Zatory
7,Wyszków (wieś),Wyszków (wieś)
7,Długosiodło,Długosiodło
7,Rząśnik,Rząśnik
7,Somianka,Somianka
7,Brańszczyk,Brańszczyk
7,Małkinia Górna,Małkinia Górna
7,Brok,Brok
7,Andrzejewo,Andrzejewo
7,Szulborze Wielkie,Szulborze Wielkie
7,Stary Lubotyń,Stary Lubotyń
7,Ostrów Mazowiecka (wieś),Ostrów Mazowiecka (wieś)
7,Zaręby Kościelne,Zaręby Kościelne
7,Wąsewo,Wąsewo
7,Troszyn,Troszyn
7,Goworowo,Goworowo
7,Rzekuń,Rzekuń
7,Lelis,Lelis
7,Kadzidło,Kadzidło
7,Czarnia,Czarnia
7,Myszyniec,Myszyniec
7,Czerwin,Czerwin
7,Łyse,Łyse
7,Lipowiec Kościelny,Lipowiec Kościelny
7,Stupsk,Stupsk
7,Szydłowo,Szydłowo
7,Wieczfnia Kościelna,Wieczfnia Kościelna
7,Strzegowo,Strzegowo
7,Raciąż,Raciąż
7,Baboszewo,Baboszewo
7,Sochocin,Sochocin
7,Naruszewo,Naruszewo
7,Załuski,Załuski
7,Żuromin (wieś),Żuromin (wieś)
7,Lutocin,Lutocin
7,Bieżuń,Bieżuń
7,Kuczbork-Osada,Kuczbork-Osada
7,Lubowidz,Lubowidz
7,Sierpc (wieś),Sierpc (wieś)
7,Zawidz,Zawidz
7,Gozdowo,Gozdowo
7,Mochowo,Mochowo
7,Rościszewo,Rościszewo
7,Łosice (wieś),Łosice (wieś)
7,Olszanka,Olszanka
7,Huszlew,Huszlew
7,Platerów,Platerów
7,Sarnaki,Sarnaki
7,Stara Kornica,Stara Kornica
7,Węgrów (wieś),Węgrów (wieś)
7,Korytnica,Korytnica
7,Liw,Liw
7,Grębków,Grębków
7,Miedzna,Miedzna
7,Sadowne,Sadowne
7,Zabrodzie,Zabrodzie
7,Zwoleń (wieś),Zwoleń (wieś)
7,Kazanów,Kazanów
7,Policzna,Policzna
7,Tczów,Tczów
7,Pionki,Pionki
7,Jedlnia-Letnisko,Jedlnia-Letnisko
7,Jastrzębia,Jastrzębia
7,Kowala,Kowala
7,Skaryszew,Skaryszew
7,Iłża,Iłża
7,Mirzec,Mirzec
7,Lipsko (wieś),Lipsko (wieś)
7,Solec nad Wisłą,Solec nad Wisłą
7,Ciepielów,Ciepielów
7,Sienno,Sienno
8,Opole,Opole
8,Kędzierzyn-Koźle,Kędzierzyn-Koźle
8,Nysa,Nysa
8,Brzeg,Brzeg
8,Kluczbork,Kluczbork
